country,average_points,number_of_reviews
Argentina,86.71026315789474,3800
Armenia,87.5,2
Australia,88.58050665521684,2329
Austria,90.10134529147982,3345
Bosnia and Herzegovina,86.5,2
Brazil,84.67307692307692,52
Bulgaria,87.93617021276596,141
Canada,89.36964980544747,257
Chile,86.4935152057245,4472
China,89.0,1
Croatia,87.21917808219177,73
Cyprus,87.18181818181819,11
Czech Republic,87.25,12
Egypt,84.0,1
England,91.58108108108108,74
France,88.84510931064138,22093
Georgia,87.68604651162791,86
Germany,89.85173210161663,2165
Greece,87.28326180257511,466
Hungary,89.1917808219178,146
India,90.22222222222223,9
Israel,88.47128712871287,505
Italy,88.56223132036847,19540
Lebanon,87.68571428571428,35
Luxembourg,88.66666666666667,6
Macedonia,86.83333333333333,12
Mexico,85.25714285714285,70
Moldova,87.20338983050847,59
Morocco,88.57142857142857,28
New Zealand,88.3030303030303,1419
Peru,83.5625,16
Portugal,88.25021964505359,5691
Romania,86.4,120
Serbia,87.5,12
Slovakia,87.0,1
Slovenia,88.06896551724138,87
South Africa,88.05638829407566,1401
Spain,87.28833709556058,6645
Switzerland,88.57142857142857,7
Turkey,88.08888888888889,90
US,88.56372009393806,54504
Ukraine,84.07142857142857,14
Uruguay,86.75229357798165,109
